#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    58    0.16273E+04   -0.14184E+01   -0.47711E-03   -0.14184E+01    0.18020E+00   -0.71098E-06   -0.47711E-03   -0.71098E-06    0.14866E-06
    59    0.16448E+04   -0.17066E+01   -0.45263E-03   -0.17066E+01    0.18964E+00   -0.66903E-06   -0.45263E-03   -0.66903E-06    0.14762E-06
    60    0.16627E+04   -0.20074E+01   -0.42946E-03   -0.20074E+01    0.19932E+00   -0.62592E-06   -0.42946E-03   -0.62592E-06    0.14658E-06
    61    0.16813E+04   -0.23200E+01   -0.40770E-03   -0.23200E+01    0.20935E+00   -0.58336E-06   -0.40770E-03   -0.58336E-06    0.14555E-06
    62    0.16999E+04   -0.26452E+01   -0.38734E-03   -0.26452E+01    0.21970E+00   -0.54336E-06   -0.38734E-03   -0.54336E-06    0.14452E-06
    63    0.17188E+04   -0.29840E+01   -0.36833E-03   -0.29840E+01    0.23034E+00   -0.50806E-06   -0.36833E-03   -0.50806E-06    0.14349E-06
    64    0.17383E+04   -0.33379E+01   -0.35065E-03   -0.33379E+01    0.24128E+00   -0.47955E-06   -0.35065E-03   -0.47955E-06    0.14247E-06
    65    0.17581E+04   -0.37073E+01   -0.33426E-03   -0.37073E+01    0.25249E+00   -0.45996E-06   -0.33426E-03   -0.45996E-06    0.14146E-06
    66    0.17782E+04   -0.40906E+01   -0.31911E-03   -0.40906E+01    0.26389E+00   -0.45125E-06   -0.31911E-03   -0.45125E-06    0.14045E-06
    67    0.17987E+04   -0.44848E+01   -0.30505E-03   -0.44848E+01    0.27549E+00   -0.45474E-06   -0.30505E-03   -0.45474E-06    0.13945E-06
    68    0.18198E+04   -0.48882E+01   -0.29192E-03   -0.48882E+01    0.28734E+00   -0.47160E-06   -0.29192E-03   -0.47160E-06    0.13845E-06
    69    0.18412E+04   -0.52990E+01   -0.27956E-03   -0.52990E+01    0.29939E+00   -0.50298E-06   -0.27956E-03   -0.50298E-06    0.13747E-06
    70    0.18630E+04   -0.57187E+01   -0.26781E-03   -0.57187E+01    0.31168E+00   -0.55006E-06   -0.26781E-03   -0.55006E-06    0.13648E-06
    71    0.18850E+04   -0.61495E+01   -0.25654E-03   -0.61495E+01    0.32421E+00   -0.61192E-06   -0.25654E-03   -0.61192E-06    0.13550E-06
    72    0.19074E+04   -0.65931E+01   -0.24574E-03   -0.65931E+01    0.33694E+00   -0.67935E-06   -0.24574E-03   -0.67935E-06    0.13453E-06
    73    0.19300E+04   -0.70500E+01   -0.23545E-03   -0.70500E+01    0.34985E+00   -0.74105E-06   -0.23545E-03   -0.74105E-06    0.13357E-06
    74    0.19528E+04   -0.75196E+01   -0.22568E-03   -0.75196E+01    0.36292E+00   -0.78572E-06   -0.22568E-03   -0.78572E-06    0.13261E-06
    75    0.19761E+04   -0.80004E+01   -0.21646E-03   -0.80004E+01    0.37615E+00   -0.80208E-06   -0.21646E-03   -0.80208E-06    0.13165E-06
    76    0.19998E+04   -0.84919E+01   -0.20781E-03   -0.84919E+01    0.38956E+00   -0.78281E-06   -0.20781E-03   -0.78281E-06    0.13070E-06
    77    0.20238E+04   -0.89939E+01   -0.19972E-03   -0.89939E+01    0.40314E+00   -0.73661E-06   -0.19972E-03   -0.73661E-06    0.12975E-06
    78    0.20483E+04   -0.95078E+01   -0.19219E-03   -0.95078E+01    0.41690E+00   -0.67615E-06   -0.19219E-03   -0.67615E-06    0.12881E-06
    79    0.20730E+04   -0.10030E+02   -0.18521E-03   -0.10030E+02    0.43080E+00   -0.61410E-06   -0.18521E-03   -0.61410E-06    0.12787E-06
    80    0.20981E+04   -0.10561E+02   -0.17876E-03   -0.10561E+02    0.44484E+00   -0.56314E-06   -0.17876E-03   -0.56314E-06    0.12693E-06
    81    0.21234E+04   -0.11103E+02   -0.17282E-03   -0.11103E+02    0.45897E+00   -0.53347E-06   -0.17282E-03   -0.53347E-06    0.12601E-06
    82    0.21490E+04   -0.11653E+02   -0.16733E-03   -0.11653E+02    0.47321E+00   -0.52538E-06   -0.16733E-03   -0.52538E-06    0.12508E-06
    83    0.21749E+04   -0.12211E+02   -0.16222E-03   -0.12211E+02    0.48753E+00   -0.53667E-06   -0.16222E-03   -0.53667E-06    0.12417E-06
    84    0.22011E+04   -0.12776E+02   -0.15741E-03   -0.12776E+02    0.50193E+00   -0.56515E-06   -0.15741E-03   -0.56515E-06    0.12325E-06
    85    0.22274E+04   -0.13349E+02   -0.15282E-03   -0.13349E+02    0.51639E+00   -0.60862E-06   -0.15282E-03   -0.60862E-06    0.12235E-06
    86    0.22540E+04   -0.13928E+02   -0.14839E-03   -0.13928E+02    0.53092E+00   -0.66441E-06   -0.14839E-03   -0.66441E-06    0.12145E-06
    87    0.22811E+04   -0.14513E+02   -0.14409E-03   -0.14513E+02    0.54549E+00   -0.72782E-06   -0.14409E-03   -0.72782E-06    0.12056E-06
    88    0.23082E+04   -0.15103E+02   -0.13991E-03   -0.15103E+02    0.56012E+00   -0.79366E-06   -0.13991E-03   -0.79366E-06    0.11967E-06
