#           k/h    P           
    0.51153E+00    0.35218E+03
    0.52187E+00    0.33764E+03
    0.53241E+00    0.32349E+03
    0.54317E+00    0.30977E+03
    0.55414E+00    0.29662E+03
    0.56533E+00    0.28410E+03
    0.57675E+00    0.27213E+03
    0.58840E+00    0.26061E+03
    0.60029E+00    0.24953E+03
    0.61242E+00    0.23888E+03
    0.62479E+00    0.22865E+03
    0.63741E+00    0.21885E+03
    0.65029E+00    0.20945E+03
    0.66342E+00    0.20043E+03
    0.67683E+00    0.19178E+03
    0.69050E+00    0.18349E+03
    0.70445E+00    0.17554E+03
    0.71868E+00    0.16792E+03
    0.73320E+00    0.16062E+03
    0.74801E+00    0.15361E+03
    0.76312E+00    0.14690E+03
    0.77854E+00    0.14046E+03
    0.79426E+00    0.13430E+03
    0.81031E+00    0.12839E+03
    0.82668E+00    0.12272E+03
    0.84338E+00    0.11730E+03
    0.86041E+00    0.11211E+03
    0.87780E+00    0.10713E+03
    0.89553E+00    0.10237E+03
    0.91362E+00    0.97808E+02
    0.93208E+00    0.93443E+02
    0.95091E+00    0.89265E+02
    0.97011E+00    0.85266E+02
    0.98971E+00    0.81439E+02
    0.10097E+01    0.77778E+02
    0.10301E+01    0.74274E+02
    0.10509E+01    0.70923E+02
    0.10721E+01    0.67717E+02
    0.10938E+01    0.64650E+02
    0.11159E+01    0.61718E+02
    0.11384E+01    0.58913E+02
    0.11614E+01    0.56231E+02
    0.11849E+01    0.53667E+02
    0.12088E+01    0.51216E+02
    0.12333E+01    0.48873E+02
    0.12582E+01    0.46633E+02
    0.12836E+01    0.44493E+02
    0.13095E+01    0.42448E+02
    0.13360E+01    0.40494E+02
    0.13630E+01    0.38627E+02
    0.13905E+01    0.36843E+02
    0.14186E+01    0.35140E+02
    0.14472E+01    0.33512E+02
    0.14765E+01    0.31958E+02
    0.15063E+01    0.30474E+02
    0.15367E+01    0.29056E+02
    0.15678E+01    0.27702E+02
    0.15994E+01    0.26409E+02
    0.16318E+01    0.25175E+02
    0.16647E+01    0.23996E+02
    0.16984E+01    0.22871E+02
    0.17327E+01    0.21796E+02
    0.17677E+01    0.20771E+02
    0.18034E+01    0.19792E+02
    0.18398E+01    0.18858E+02
    0.18770E+01    0.17968E+02
    0.19149E+01    0.17119E+02
    0.19536E+01    0.16310E+02
    0.19930E+01    0.15538E+02
    0.20333E+01    0.14803E+02
