#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.535130E-02   0.190193E+08   0.190139E+08   0.357700E+05   0.452870E+05   0.155945E+08   0.190030E+08   0.190184E+08   0.190030E+08  -0.448776E+00   0.121558E+08   0.121552E+08   0.352188E+02
   0.590887E-02   0.187478E+08   0.187418E+08   0.306719E+05   0.366131E+05   0.150120E+08   0.187299E+08   0.187468E+08   0.187299E+08  -0.442328E+00   0.119746E+08   0.119741E+08   0.317354E+02
   0.652453E-02   0.184430E+08   0.184363E+08   0.238539E+05   0.295410E+05   0.143998E+08   0.184236E+08   0.184419E+08   0.184236E+08  -0.435094E+00   0.117737E+08   0.117731E+08   0.286173E+02
   0.720434E-02   0.181049E+08   0.180973E+08   0.183010E+05   0.237846E+05   0.137470E+08   0.180840E+08   0.181037E+08   0.180840E+08  -0.427072E+00   0.115525E+08   0.115519E+08   0.258599E+02
   0.795498E-02   0.177327E+08   0.177240E+08   0.139642E+05   0.191064E+05   0.130622E+08   0.177102E+08   0.177313E+08   0.177102E+08  -0.418245E+00   0.113105E+08   0.113099E+08   0.233667E+02
   0.878383E-02   0.173254E+08   0.173156E+08   0.125983E+05   0.153107E+05   0.123545E+08   0.173014E+08   0.173239E+08   0.173014E+08  -0.408591E+00   0.110469E+08   0.110464E+08   0.211390E+02
   0.969905E-02   0.168824E+08   0.168710E+08   0.102068E+05   0.122362E+05   0.116248E+08   0.168568E+08   0.168806E+08   0.168568E+08  -0.398091E+00   0.107611E+08   0.107606E+08   0.191596E+02
   0.107096E-01   0.164026E+08   0.163895E+08   0.794351E+04   0.975047E+04   0.108729E+08   0.163755E+08   0.164005E+08   0.163755E+08  -0.386724E+00   0.104524E+08   0.104519E+08   0.173951E+02
   0.118255E-01   0.158849E+08   0.158698E+08   0.657688E+04   0.774459E+04   0.101055E+08   0.158564E+08   0.158825E+08   0.158564E+08  -0.374465E+00   0.101200E+08   0.101195E+08   0.158271E+02
   0.130576E-01   0.153284E+08   0.153110E+08   0.517034E+04   0.612927E+04   0.933030E+07   0.152986E+08   0.153257E+08   0.152986E+08  -0.361292E+00   0.976327E+07   0.976270E+07   0.144359E+02
   0.144181E-01   0.147324E+08   0.147123E+08   0.404328E+04   0.483148E+04   0.855381E+07   0.147013E+08   0.147293E+08   0.147013E+08  -0.347187E+00   0.938161E+07   0.938104E+07   0.131975E+02
