#    L    TT             EE             TE             PP             TP          
   142    0.40271E+04    0.10511E+01   -0.43323E+02    0.37314E+07    0.30255E+03
   143    0.40599E+04    0.10497E+01   -0.43516E+02    0.37067E+07    0.33383E+03
   144    0.40926E+04    0.10478E+01   -0.43689E+02    0.36823E+07    0.36421E+03
   145    0.41250E+04    0.10455E+01   -0.43840E+02    0.36582E+07    0.39368E+03
   146    0.41576E+04    0.10427E+01   -0.43970E+02    0.36342E+07    0.42222E+03
   147    0.41898E+04    0.10395E+01   -0.44078E+02    0.36105E+07    0.44983E+03
   148    0.42218E+04    0.10358E+01   -0.44164E+02    0.35870E+07    0.47648E+03
   149    0.42538E+04    0.10317E+01   -0.44228E+02    0.35638E+07    0.50216E+03
   150    0.42855E+04    0.10272E+01   -0.44267E+02    0.35408E+07    0.52685E+03
   151    0.43170E+04    0.10224E+01   -0.44284E+02    0.35180E+07    0.55055E+03
   152    0.43483E+04    0.10170E+01   -0.44278E+02    0.34954E+07    0.57328E+03
   153    0.43794E+04    0.10112E+01   -0.44247E+02    0.34730E+07    0.59505E+03
   154    0.44103E+04    0.10051E+01   -0.44192E+02    0.34509E+07    0.61591E+03
   155    0.44410E+04    0.99870E+00   -0.44113E+02    0.34289E+07    0.63587E+03
   156    0.44713E+04    0.99191E+00   -0.44010E+02    0.34072E+07    0.65496E+03
   157    0.45016E+04    0.98476E+00   -0.43882E+02    0.33857E+07    0.67320E+03
   158    0.45315E+04    0.97734E+00   -0.43728E+02    0.33644E+07    0.69063E+03
   159    0.45612E+04    0.96948E+00   -0.43551E+02    0.33433E+07    0.70727E+03
   160    0.45906E+04    0.96135E+00   -0.43346E+02    0.33224E+07    0.72314E+03
   161    0.46198E+04    0.95302E+00   -0.43117E+02    0.33017E+07    0.73828E+03
   162    0.46488E+04    0.94433E+00   -0.42863E+02    0.32811E+07    0.75270E+03
   163    0.46775E+04    0.93536E+00   -0.42583E+02    0.32608E+07    0.76644E+03
   164    0.47058E+04    0.92619E+00   -0.42278E+02    0.32407E+07    0.77952E+03
   165    0.47340E+04    0.91673E+00   -0.41946E+02    0.32208E+07    0.79197E+03
   166    0.47619E+04    0.90714E+00   -0.41589E+02    0.32010E+07    0.80381E+03
   167    0.47895E+04    0.89720E+00   -0.41207E+02    0.31814E+07    0.81507E+03
   168    0.48167E+04    0.88727E+00   -0.40797E+02    0.31621E+07    0.82577E+03
   169    0.48436E+04    0.87706E+00   -0.40361E+02    0.31429E+07    0.83595E+03
   170    0.48702E+04    0.86679E+00   -0.39898E+02    0.31239E+07    0.84563E+03
   171    0.48963E+04    0.85646E+00   -0.39409E+02    0.31050E+07    0.85484E+03
