#    L    TT             EE             TE             PP             TP          
   100    0.26932E+04    0.76621E+00   -0.23059E+02    0.62973E+07   -0.11029E+05
   101    0.27243E+04    0.78081E+00   -0.23716E+02    0.62519E+07   -0.10793E+05
   102    0.27559E+04    0.79519E+00   -0.24374E+02    0.62069E+07   -0.10563E+05
   103    0.27874E+04    0.80943E+00   -0.25033E+02    0.61623E+07   -0.10339E+05
   104    0.28192E+04    0.82351E+00   -0.25689E+02    0.61181E+07   -0.10120E+05
   105    0.28511E+04    0.83737E+00   -0.26345E+02    0.60743E+07   -0.99073E+04
   106    0.28833E+04    0.85108E+00   -0.26999E+02    0.60309E+07   -0.96995E+04
   107    0.29154E+04    0.86449E+00   -0.27651E+02    0.59879E+07   -0.94969E+04
   108    0.29479E+04    0.87768E+00   -0.28301E+02    0.59453E+07   -0.92993E+04
   109    0.29806E+04    0.89057E+00   -0.28947E+02    0.59031E+07   -0.91066E+04
   110    0.30133E+04    0.90317E+00   -0.29588E+02    0.58613E+07   -0.89186E+04
   111    0.30462E+04    0.91554E+00   -0.30226E+02    0.58198E+07   -0.87353E+04
   112    0.30793E+04    0.92761E+00   -0.30859E+02    0.57788E+07   -0.85564E+04
   113    0.31126E+04    0.93938E+00   -0.31487E+02    0.57381E+07   -0.83820E+04
   114    0.31459E+04    0.95078E+00   -0.32109E+02    0.56978E+07   -0.82118E+04
   115    0.31796E+04    0.96196E+00   -0.32723E+02    0.56579E+07   -0.80457E+04
   116    0.32132E+04    0.97269E+00   -0.33331E+02    0.56184E+07   -0.78837E+04
   117    0.32471E+04    0.98305E+00   -0.33930E+02    0.55792E+07   -0.77256E+04
   118    0.32812E+04    0.99318E+00   -0.34522E+02    0.55404E+07   -0.75714E+04
   119    0.33153E+04    0.10029E+01   -0.35104E+02    0.55020E+07   -0.74209E+04
   120    0.33495E+04    0.10122E+01   -0.35676E+02    0.54639E+07   -0.72740E+04
   121    0.33837E+04    0.10212E+01   -0.36239E+02    0.54262E+07   -0.71306E+04
   122    0.34181E+04    0.10297E+01   -0.36791E+02    0.53888E+07   -0.69906E+04
   123    0.34524E+04    0.10377E+01   -0.37332E+02    0.53518E+07   -0.68538E+04
   124    0.34869E+04    0.10454E+01   -0.37859E+02    0.53151E+07   -0.67203E+04
   125    0.35214E+04    0.10526E+01   -0.38375E+02    0.52788E+07   -0.65898E+04
   126    0.35559E+04    0.10594E+01   -0.38879E+02    0.52428E+07   -0.64622E+04
   127    0.35904E+04    0.10657E+01   -0.39370E+02    0.52072E+07   -0.63375E+04
   128    0.36249E+04    0.10717E+01   -0.39846E+02    0.51719E+07   -0.62156E+04
   129    0.36595E+04    0.10771E+01   -0.40309E+02    0.51369E+07   -0.60962E+04
   130    0.36941E+04    0.10819E+01   -0.40755E+02    0.51023E+07   -0.59794E+04
   131    0.37286E+04    0.10864E+01   -0.41188E+02    0.50680E+07   -0.58650E+04
   132    0.37633E+04    0.10904E+01   -0.41603E+02    0.50340E+07   -0.57529E+04
   133    0.37978E+04    0.10940E+01   -0.42004E+02    0.50003E+07   -0.56432E+04
   134    0.38324E+04    0.10970E+01   -0.42386E+02    0.49670E+07   -0.55357E+04
   135    0.38669E+04    0.10996E+01   -0.42752E+02    0.49340E+07   -0.54305E+04
   136    0.39013E+04    0.11016E+01   -0.43098E+02    0.49012E+07   -0.53274E+04
   137    0.39357E+04    0.11032E+01   -0.43426E+02    0.48688E+07   -0.52265E+04
   138    0.39700E+04    0.11043E+01   -0.43735E+02    0.48367E+07   -0.51277E+04
   139    0.40040E+04    0.11049E+01   -0.44025E+02    0.48049E+07   -0.50309E+04
   140    0.40382E+04    0.11050E+01   -0.44295E+02    0.47734E+07   -0.49361E+04
   141    0.40721E+04    0.11046E+01   -0.44544E+02    0.47421E+07   -0.48433E+04
   142    0.41060E+04    0.11037E+01   -0.44773E+02    0.47112E+07   -0.47525E+04
   143    0.41399E+04    0.11023E+01   -0.44982E+02    0.46806E+07   -0.46635E+04
   144    0.41735E+04    0.11004E+01   -0.45169E+02    0.46502E+07   -0.45763E+04
   145    0.42070E+04    0.10982E+01   -0.45335E+02    0.46201E+07   -0.44909E+04
   146    0.42405E+04    0.10954E+01   -0.45479E+02    0.45903E+07   -0.44072E+04
   147    0.42737E+04    0.10921E+01   -0.45599E+02    0.45608E+07   -0.43253E+04
   148    0.43067E+04    0.10884E+01   -0.45698E+02    0.45315E+07   -0.42450E+04
   149    0.43397E+04    0.10842E+01   -0.45774E+02    0.45025E+07   -0.41663E+04
   150    0.43724E+04    0.10796E+01   -0.45824E+02    0.44738E+07   -0.40892E+04
   151    0.44049E+04    0.10746E+01   -0.45852E+02    0.44454E+07   -0.40136E+04
   152    0.44372E+04    0.10691E+01   -0.45855E+02    0.44171E+07   -0.39395E+04
   153    0.44693E+04    0.10632E+01   -0.45833E+02    0.43892E+07   -0.38669E+04
   154    0.45012E+04    0.10569E+01   -0.45787E+02    0.43615E+07   -0.37957E+04
   155    0.45328E+04    0.10502E+01   -0.45716E+02    0.43341E+07   -0.37259E+04
   156    0.45641E+04    0.10432E+01   -0.45621E+02    0.43069E+07   -0.36575E+04
