#    L    TT             EE             TE             PP             TP          
   113    0.41012E-09    0.12052E-12   -0.41120E-11    0.54072E-06    0.72418E-09
   114    0.41451E-09    0.12197E-12   -0.41922E-11    0.53724E-06    0.71584E-09
   115    0.41892E-09    0.12340E-12   -0.42714E-11    0.53378E-06    0.70765E-09
   116    0.42334E-09    0.12477E-12   -0.43497E-11    0.53035E-06    0.69961E-09
   117    0.42779E-09    0.12608E-12   -0.44269E-11    0.52694E-06    0.69170E-09
   118    0.43226E-09    0.12738E-12   -0.45031E-11    0.52356E-06    0.68393E-09
   119    0.43673E-09    0.12862E-12   -0.45780E-11    0.52020E-06    0.67629E-09
   120    0.44122E-09    0.12979E-12   -0.46517E-11    0.51686E-06    0.66879E-09
   121    0.44570E-09    0.13094E-12   -0.47241E-11    0.51356E-06    0.66141E-09
   122    0.45020E-09    0.13202E-12   -0.47950E-11    0.51027E-06    0.65415E-09
   123    0.45471E-09    0.13304E-12   -0.48646E-11    0.50701E-06    0.64702E-09
   124    0.45922E-09    0.13402E-12   -0.49324E-11    0.50378E-06    0.64001E-09
   125    0.46374E-09    0.13493E-12   -0.49987E-11    0.50057E-06    0.63311E-09
   126    0.46827E-09    0.13580E-12   -0.50633E-11    0.49738E-06    0.62632E-09
   127    0.47280E-09    0.13660E-12   -0.51263E-11    0.49422E-06    0.61965E-09
   128    0.47732E-09    0.13736E-12   -0.51875E-11    0.49109E-06    0.61308E-09
   129    0.48186E-09    0.13805E-12   -0.52467E-11    0.48798E-06    0.60662E-09
   130    0.48640E-09    0.13866E-12   -0.53040E-11    0.48489E-06    0.60026E-09
   131    0.49094E-09    0.13924E-12   -0.53595E-11    0.48183E-06    0.59400E-09
   132    0.49549E-09    0.13974E-12   -0.54128E-11    0.47880E-06    0.58784E-09
   133    0.50004E-09    0.14019E-12   -0.54642E-11    0.47579E-06    0.58178E-09
   134    0.50458E-09    0.14058E-12   -0.55132E-11    0.47280E-06    0.57582E-09
   135    0.50912E-09    0.14090E-12   -0.55601E-11    0.46983E-06    0.56995E-09
   136    0.51364E-09    0.14115E-12   -0.56044E-11    0.46689E-06    0.56417E-09
   137    0.51817E-09    0.14135E-12   -0.56464E-11    0.46398E-06    0.55848E-09
   138    0.52268E-09    0.14148E-12   -0.56860E-11    0.46109E-06    0.55287E-09
   139    0.52717E-09    0.14156E-12   -0.57230E-11    0.45822E-06    0.54736E-09
   140    0.53166E-09    0.14157E-12   -0.57576E-11    0.45537E-06    0.54192E-09
   141    0.53613E-09    0.14151E-12   -0.57894E-11    0.45255E-06    0.53657E-09
   142    0.54060E-09    0.14139E-12   -0.58186E-11    0.44975E-06    0.53130E-09
   143    0.54505E-09    0.14121E-12   -0.58451E-11    0.44698E-06    0.52610E-09
   144    0.54948E-09    0.14096E-12   -0.58689E-11    0.44423E-06    0.52098E-09
   145    0.55389E-09    0.14067E-12   -0.58899E-11    0.44150E-06    0.51594E-09
   146    0.55831E-09    0.14030E-12   -0.59080E-11    0.43879E-06    0.51096E-09
   147    0.56268E-09    0.13989E-12   -0.59231E-11    0.43611E-06    0.50606E-09
   148    0.56703E-09    0.13940E-12   -0.59354E-11    0.43345E-06    0.50122E-09
   149    0.57137E-09    0.13886E-12   -0.59447E-11    0.43081E-06    0.49645E-09
   150    0.57568E-09    0.13827E-12   -0.59506E-11    0.42819E-06    0.49174E-09
   151    0.57996E-09    0.13763E-12   -0.59537E-11    0.42560E-06    0.48709E-09
   152    0.58420E-09    0.13691E-12   -0.59536E-11    0.42303E-06    0.48250E-09
   153    0.58843E-09    0.13615E-12   -0.59501E-11    0.42048E-06    0.47798E-09
   154    0.59262E-09    0.13534E-12   -0.59436E-11    0.41795E-06    0.47351E-09
   155    0.59679E-09    0.13449E-12   -0.59338E-11    0.41544E-06    0.46909E-09
   156    0.60091E-09    0.13358E-12   -0.59208E-11    0.41296E-06    0.46473E-09
   157    0.60501E-09    0.13263E-12   -0.59043E-11    0.41050E-06    0.46043E-09
   158    0.60908E-09    0.13164E-12   -0.58846E-11    0.40805E-06    0.45618E-09
   159    0.61311E-09    0.13060E-12   -0.58616E-11    0.40563E-06    0.45199E-09
   160    0.61710E-09    0.12951E-12   -0.58350E-11    0.40323E-06    0.44784E-09
   161    0.62107E-09    0.12840E-12   -0.58051E-11    0.40085E-06    0.44375E-09
   162    0.62499E-09    0.12724E-12   -0.57719E-11    0.39849E-06    0.43971E-09
   163    0.62890E-09    0.12604E-12   -0.57351E-11    0.39615E-06    0.43572E-09
   164    0.63274E-09    0.12481E-12   -0.56950E-11    0.39383E-06    0.43178E-09
   165    0.63656E-09    0.12355E-12   -0.56513E-11    0.39153E-06    0.42789E-09
   166    0.64035E-09    0.12227E-12   -0.56042E-11    0.38925E-06    0.42404E-09
   167    0.64410E-09    0.12094E-12   -0.55537E-11    0.38699E-06    0.42024E-09
   168    0.64779E-09    0.11961E-12   -0.54996E-11    0.38475E-06    0.41649E-09
   169    0.65144E-09    0.11824E-12   -0.54419E-11    0.38253E-06    0.41278E-09
   170    0.65504E-09    0.11686E-12   -0.53807E-11    0.38033E-06    0.40912E-09
   171    0.65859E-09    0.11548E-12   -0.53157E-11    0.37814E-06    0.40549E-09
   172    0.66209E-09    0.11407E-12   -0.52473E-11    0.37598E-06    0.40192E-09
   173    0.66552E-09    0.11265E-12   -0.51752E-11    0.37383E-06    0.39838E-09
   174    0.66891E-09    0.11125E-12   -0.50997E-11    0.37170E-06    0.39488E-09
   175    0.67225E-09    0.10983E-12   -0.50204E-11    0.36959E-06    0.39142E-09
   176    0.67551E-09    0.10842E-12   -0.49376E-11    0.36750E-06    0.38800E-09
   177    0.67873E-09    0.10701E-12   -0.48512E-11    0.36542E-06    0.38462E-09
   178    0.68188E-09    0.10563E-12   -0.47612E-11    0.36337E-06    0.38127E-09
   179    0.68497E-09    0.10424E-12   -0.46676E-11    0.36132E-06    0.37796E-09
   180    0.68802E-09    0.10288E-12   -0.45705E-11    0.35930E-06    0.37469E-09
   181    0.69100E-09    0.10153E-12   -0.44700E-11    0.35730E-06    0.37145E-09
   182    0.69391E-09    0.10022E-12   -0.43658E-11    0.35531E-06    0.36825E-09
   183    0.69676E-09    0.98921E-13   -0.42581E-11    0.35333E-06    0.36509E-09
   184    0.69955E-09    0.97656E-13   -0.41469E-11    0.35138E-06    0.36195E-09
   185    0.70228E-09    0.96440E-13   -0.40325E-11    0.34944E-06    0.35885E-09
   186    0.70490E-09    0.95255E-13   -0.39144E-11    0.34752E-06    0.35579E-09
   187    0.70750E-09    0.94120E-13   -0.37928E-11    0.34561E-06    0.35275E-09
   188    0.71003E-09    0.93032E-13   -0.36680E-11    0.34372E-06    0.34975E-09
   189    0.71247E-09    0.91996E-13   -0.35398E-11    0.34184E-06    0.34677E-09
   190    0.71490E-09    0.91019E-13   -0.34084E-11    0.33998E-06    0.34383E-09
   191    0.71720E-09    0.90104E-13   -0.32734E-11    0.33814E-06    0.34092E-09
   192    0.71946E-09    0.89254E-13   -0.31353E-11    0.33631E-06    0.33804E-09
   193    0.72163E-09    0.88475E-13   -0.29940E-11    0.33450E-06    0.33519E-09
   194    0.72375E-09    0.87770E-13   -0.28494E-11    0.33270E-06    0.33236E-09
   195    0.72580E-09    0.87144E-13   -0.27018E-11    0.33092E-06    0.32956E-09
   196    0.72776E-09    0.86603E-13   -0.25510E-11    0.32915E-06    0.32679E-09
   197    0.72966E-09    0.86151E-13   -0.23973E-11    0.32740E-06    0.32405E-09
   198    0.73149E-09    0.85793E-13   -0.22406E-11    0.32566E-06    0.32133E-09
   199    0.73325E-09    0.85532E-13   -0.20809E-11    0.32393E-06    0.31864E-09
   200    0.73495E-09    0.85373E-13   -0.19183E-11    0.32222E-06    0.31597E-09
   201    0.73656E-09    0.85324E-13   -0.17528E-11    0.32053E-06    0.31333E-09
   202    0.73810E-09    0.85384E-13   -0.15846E-11    0.31885E-06    0.31071E-09
   203    0.73956E-09    0.85563E-13   -0.14135E-11    0.31718E-06    0.30812E-09
   204    0.74094E-09    0.85863E-13   -0.12400E-11    0.31552E-06    0.30555E-09
   205    0.74224E-09    0.86290E-13   -0.10638E-11    0.31388E-06    0.30300E-09
   206    0.74345E-09    0.86848E-13   -0.88491E-12    0.31225E-06    0.30048E-09
   207    0.74460E-09    0.87541E-13   -0.70354E-12    0.31064E-06    0.29797E-09
   208    0.74564E-09    0.88376E-13   -0.51971E-12    0.30904E-06    0.29549E-09
   209    0.74661E-09    0.89355E-13   -0.33347E-12    0.30745E-06    0.29304E-09
   210    0.74750E-09    0.90485E-13   -0.14494E-12    0.30587E-06    0.29060E-09
   211    0.74831E-09    0.91770E-13    0.45877E-13    0.30431E-06    0.28818E-09
   212    0.74902E-09    0.93214E-13    0.23885E-12    0.30276E-06    0.28579E-09
   213    0.74966E-09    0.94823E-13    0.43400E-12    0.30122E-06    0.28342E-09
   214    0.75021E-09    0.96595E-13    0.63116E-12    0.29970E-06    0.28107E-09
   215    0.75068E-09    0.98557E-13    0.83023E-12    0.29819E-06    0.27874E-09
   216    0.75107E-09    0.10068E-12    0.10313E-11    0.29669E-06    0.27643E-09
   217    0.75138E-09    0.10299E-12    0.12341E-11    0.29520E-06    0.27414E-09
   218    0.75161E-09    0.10549E-12    0.14386E-11    0.29372E-06    0.27187E-09
   219    0.75176E-09    0.10817E-12    0.16450E-11    0.29226E-06    0.26962E-09
   220    0.75183E-09    0.11106E-12    0.18527E-11    0.29080E-06    0.26738E-09
   221    0.75182E-09    0.11414E-12    0.20620E-11    0.28936E-06    0.26517E-09
   222    0.75173E-09    0.11744E-12    0.22727E-11    0.28793E-06    0.26298E-09
   223    0.75155E-09    0.12093E-12    0.24848E-11    0.28651E-06    0.26080E-09
   224    0.75131E-09    0.12464E-12    0.26980E-11    0.28511E-06    0.25865E-09
   225    0.75098E-09    0.12857E-12    0.29125E-11    0.28371E-06    0.25651E-09
   226    0.75057E-09    0.13272E-12    0.31280E-11    0.28232E-06    0.25439E-09
   227    0.75008E-09    0.13709E-12    0.33446E-11    0.28095E-06    0.25228E-09
   228    0.74951E-09    0.14169E-12    0.35620E-11    0.27958E-06    0.25020E-09
   229    0.74887E-09    0.14653E-12    0.37802E-11    0.27823E-06    0.24813E-09
   230    0.74814E-09    0.15159E-12    0.39992E-11    0.27689E-06    0.24608E-09
   231    0.74733E-09    0.15690E-12    0.42189E-11    0.27555E-06    0.24404E-09
   232    0.74644E-09    0.16245E-12    0.44391E-11    0.27423E-06    0.24202E-09
   233    0.74548E-09    0.16826E-12    0.46596E-11    0.27292E-06    0.24002E-09
   234    0.74442E-09    0.17431E-12    0.48806E-11    0.27161E-06    0.23803E-09
   235    0.74329E-09    0.18061E-12    0.51017E-11    0.27032E-06    0.23606E-09
   236    0.74207E-09    0.18717E-12    0.53231E-11    0.26904E-06    0.23411E-09
   237    0.74077E-09    0.19399E-12    0.55445E-11    0.26776E-06    0.23217E-09
   238    0.73940E-09    0.20108E-12    0.57660E-11    0.26650E-06    0.23024E-09
   239    0.73795E-09    0.20843E-12    0.59874E-11    0.26525E-06    0.22833E-09
   240    0.73641E-09    0.21604E-12    0.62084E-11    0.26400E-06    0.22644E-09
   241    0.73481E-09    0.22393E-12    0.64291E-11    0.26277E-06    0.22456E-09
   242    0.73312E-09    0.23209E-12    0.66495E-11    0.26154E-06    0.22269E-09
   243    0.73136E-09    0.24053E-12    0.68694E-11    0.26032E-06    0.22084E-09
   244    0.72952E-09    0.24924E-12    0.70887E-11    0.25911E-06    0.21900E-09
   245    0.72761E-09    0.25823E-12    0.73073E-11    0.25791E-06    0.21718E-09
   246    0.72562E-09    0.26751E-12    0.75251E-11    0.25672E-06    0.21537E-09
   247    0.72356E-09    0.27706E-12    0.77421E-11    0.25554E-06    0.21357E-09
   248    0.72142E-09    0.28693E-12    0.79581E-11    0.25437E-06    0.21178E-09
   249    0.71923E-09    0.29706E-12    0.81730E-11    0.25320E-06    0.21001E-09
   250    0.71695E-09    0.30749E-12    0.83867E-11    0.25204E-06    0.20825E-09
   251    0.71461E-09    0.31820E-12    0.85992E-11    0.25089E-06    0.20651E-09
   252    0.71219E-09    0.32921E-12    0.88105E-11    0.24975E-06    0.20477E-09
   253    0.70972E-09    0.34050E-12    0.90201E-11    0.24862E-06    0.20305E-09
   254    0.70718E-09    0.35210E-12    0.92283E-11    0.24750E-06    0.20134E-09
   255    0.70456E-09    0.36397E-12    0.94349E-11    0.24638E-06    0.19964E-09
   256    0.70189E-09    0.37616E-12    0.96400E-11    0.24527E-06    0.19795E-09
   257    0.69915E-09    0.38861E-12    0.98424E-11    0.24417E-06    0.19628E-09
   258    0.69634E-09    0.40138E-12    0.10044E-10    0.24307E-06    0.19461E-09
   259    0.69348E-09    0.41445E-12    0.10243E-10    0.24199E-06    0.19296E-09
   260    0.69056E-09    0.42780E-12    0.10440E-10    0.24091E-06    0.19132E-09
   261    0.68758E-09    0.44144E-12    0.10634E-10    0.23984E-06    0.18969E-09
   262    0.68452E-09    0.45539E-12    0.10827E-10    0.23877E-06    0.18808E-09
   263    0.68144E-09    0.46963E-12    0.11018E-10    0.23772E-06    0.18647E-09
   264    0.67829E-09    0.48415E-12    0.11206E-10    0.23667E-06    0.18487E-09
   265    0.67506E-09    0.49897E-12    0.11390E-10    0.23563E-06    0.18329E-09
   266    0.67179E-09    0.51409E-12    0.11573E-10    0.23459E-06    0.18172E-09
   267    0.66845E-09    0.52948E-12    0.11752E-10    0.23356E-06    0.18016E-09
   268    0.66506E-09    0.54519E-12    0.11929E-10    0.23254E-06    0.17861E-09
   269    0.66160E-09    0.56117E-12    0.12104E-10    0.23153E-06    0.17707E-09
   270    0.65811E-09    0.57743E-12    0.12275E-10    0.23052E-06    0.17554E-09
   271    0.65456E-09    0.59397E-12    0.12444E-10    0.22952E-06    0.17402E-09
   272    0.65098E-09    0.61082E-12    0.12608E-10    0.22853E-06    0.17251E-09
   273    0.64734E-09    0.62791E-12    0.12771E-10    0.22754E-06    0.17101E-09
   274    0.64365E-09    0.64531E-12    0.12929E-10    0.22656E-06    0.16952E-09
   275    0.63992E-09    0.66296E-12    0.13085E-10    0.22559E-06    0.16805E-09
   276    0.63615E-09    0.68088E-12    0.13236E-10    0.22462E-06    0.16658E-09
   277    0.63233E-09    0.69907E-12    0.13385E-10    0.22366E-06    0.16512E-09
   278    0.62847E-09    0.71753E-12    0.13529E-10    0.22271E-06    0.16368E-09
   279    0.62457E-09    0.73625E-12    0.13669E-10    0.22176E-06    0.16224E-09
   280    0.62063E-09    0.75522E-12    0.13807E-10    0.22082E-06    0.16081E-09
   281    0.61667E-09    0.77446E-12    0.13941E-10    0.21988E-06    0.15940E-09
   282    0.61265E-09    0.79393E-12    0.14070E-10    0.21895E-06    0.15799E-09
   283    0.60861E-09    0.81365E-12    0.14196E-10    0.21803E-06    0.15660E-09
   284    0.60454E-09    0.83361E-12    0.14318E-10    0.21711E-06    0.15521E-09
   285    0.60044E-09    0.85383E-12    0.14435E-10    0.21620E-06    0.15383E-09
   286    0.59629E-09    0.87427E-12    0.14548E-10    0.21529E-06    0.15247E-09
   287    0.59212E-09    0.89493E-12    0.14658E-10    0.21439E-06    0.15111E-09
   288    0.58792E-09    0.91583E-12    0.14763E-10    0.21350E-06    0.14976E-09
   289    0.58370E-09    0.93694E-12    0.14864E-10    0.21261E-06    0.14843E-09
   290    0.57945E-09    0.95825E-12    0.14962E-10    0.21173E-06    0.14710E-09
   291    0.57518E-09    0.97985E-12    0.15053E-10    0.21085E-06    0.14578E-09
   292    0.57086E-09    0.10016E-11    0.15141E-10    0.20998E-06    0.14448E-09
   293    0.56655E-09    0.10235E-11    0.15224E-10    0.20911E-06    0.14318E-09
