#    L    TT             EE             BB             TE          
   140    0.39630E+04    0.10567E+01    0.54831E-02   -0.42768E+02
   141    0.39958E+04    0.10562E+01    0.55675E-02   -0.42998E+02
   142    0.40286E+04    0.10554E+01    0.56527E-02   -0.43208E+02
   143    0.40614E+04    0.10541E+01    0.57388E-02   -0.43398E+02
   144    0.40940E+04    0.10523E+01    0.58257E-02   -0.43567E+02
   145    0.41263E+04    0.10501E+01    0.59135E-02   -0.43715E+02
   146    0.41588E+04    0.10474E+01    0.60022E-02   -0.43842E+02
   147    0.41909E+04    0.10443E+01    0.60918E-02   -0.43946E+02
   148    0.42229E+04    0.10407E+01    0.61823E-02   -0.44029E+02
   149    0.42547E+04    0.10368E+01    0.62737E-02   -0.44089E+02
   150    0.42863E+04    0.10324E+01    0.63660E-02   -0.44125E+02
   151    0.43178E+04    0.10277E+01    0.64592E-02   -0.44139E+02
   152    0.43489E+04    0.10224E+01    0.65534E-02   -0.44130E+02
   153    0.43800E+04    0.10168E+01    0.66485E-02   -0.44095E+02
   154    0.44107E+04    0.10109E+01    0.67445E-02   -0.44037E+02
   155    0.44413E+04    0.10046E+01    0.68415E-02   -0.43955E+02
   156    0.44715E+04    0.99801E+00    0.69395E-02   -0.43849E+02
   157    0.45017E+04    0.99103E+00    0.70384E-02   -0.43717E+02
   158    0.45315E+04    0.98379E+00    0.71382E-02   -0.43561E+02
   159    0.45611E+04    0.97612E+00    0.72391E-02   -0.43380E+02
   160    0.45904E+04    0.96818E+00    0.73409E-02   -0.43173E+02
   161    0.46195E+04    0.96004E+00    0.74436E-02   -0.42941E+02
   162    0.46483E+04    0.95155E+00    0.75474E-02   -0.42684E+02
   163    0.46770E+04    0.94279E+00    0.76521E-02   -0.42401E+02
   164    0.47052E+04    0.93383E+00    0.77578E-02   -0.42093E+02
   165    0.47332E+04    0.92460E+00    0.78645E-02   -0.41758E+02
   166    0.47610E+04    0.91524E+00    0.79722E-02   -0.41398E+02
   167    0.47885E+04    0.90553E+00    0.80809E-02   -0.41013E+02
   168    0.48156E+04    0.89584E+00    0.81905E-02   -0.40601E+02
   169    0.48423E+04    0.88588E+00    0.83011E-02   -0.40162E+02
   170    0.48688E+04    0.87586E+00    0.84127E-02   -0.39698E+02
   171    0.48948E+04    0.86579E+00    0.85253E-02   -0.39205E+02
   172    0.49204E+04    0.85560E+00    0.86388E-02   -0.38687E+02
   173    0.49456E+04    0.84527E+00    0.87533E-02   -0.38142E+02
   174    0.49705E+04    0.83512E+00    0.88688E-02   -0.37571E+02
   175    0.49949E+04    0.82483E+00    0.89853E-02   -0.36973E+02
   176    0.50189E+04    0.81464E+00    0.91027E-02   -0.36348E+02
   177    0.50425E+04    0.80447E+00    0.92210E-02   -0.35698E+02
   178    0.50656E+04    0.79454E+00    0.93403E-02   -0.35020E+02
   179    0.50882E+04    0.78455E+00    0.94605E-02   -0.34316E+02
   180    0.51106E+04    0.77473E+00    0.95817E-02   -0.33586E+02
   181    0.51324E+04    0.76507E+00    0.97038E-02   -0.32830E+02
   182    0.51537E+04    0.75565E+00    0.98268E-02   -0.32048E+02
   183    0.51746E+04    0.74640E+00    0.99507E-02   -0.31240E+02
   184    0.51950E+04    0.73737E+00    0.10076E-01   -0.30406E+02
   185    0.52150E+04    0.72874E+00    0.10201E-01   -0.29548E+02
   186    0.52342E+04    0.72034E+00    0.10328E-01   -0.28663E+02
   187    0.52532E+04    0.71233E+00    0.10455E-01   -0.27752E+02
   188    0.52717E+04    0.70468E+00    0.10584E-01   -0.26818E+02
   189    0.52897E+04    0.69743E+00    0.10713E-01   -0.25858E+02
   190    0.53074E+04    0.69064E+00    0.10843E-01   -0.24875E+02
   191    0.53243E+04    0.68432E+00    0.10974E-01   -0.23866E+02
   192    0.53408E+04    0.67850E+00    0.11106E-01   -0.22833E+02
   193    0.53567E+04    0.67322E+00    0.11238E-01   -0.21777E+02
   194    0.53722E+04    0.66851E+00    0.11372E-01   -0.20697E+02
   195    0.53871E+04    0.66440E+00    0.11506E-01   -0.19594E+02
   196    0.54015E+04    0.66094E+00    0.11641E-01   -0.18469E+02
   197    0.54154E+04    0.65815E+00    0.11776E-01   -0.17321E+02
   198    0.54288E+04    0.65608E+00    0.11913E-01   -0.16151E+02
   199    0.54416E+04    0.65475E+00    0.12050E-01   -0.14960E+02
   200    0.54540E+04    0.65418E+00    0.12188E-01   -0.13748E+02
   201    0.54658E+04    0.65445E+00    0.12327E-01   -0.12514E+02
   202    0.54770E+04    0.65555E+00    0.12466E-01   -0.11260E+02
   203    0.54877E+04    0.65755E+00    0.12607E-01   -0.99845E+01
   204    0.54977E+04    0.66046E+00    0.12747E-01   -0.86916E+01
   205    0.55072E+04    0.66433E+00    0.12889E-01   -0.73784E+01
   206    0.55161E+04    0.66920E+00    0.13031E-01   -0.60463E+01
   207    0.55244E+04    0.67508E+00    0.13174E-01   -0.46958E+01
   208    0.55320E+04    0.68203E+00    0.13318E-01   -0.33272E+01
   209    0.55390E+04    0.69006E+00    0.13462E-01   -0.19411E+01
   210    0.55454E+04    0.69924E+00    0.13607E-01   -0.53820E+00
   211    0.55512E+04    0.70958E+00    0.13753E-01    0.88138E+00
   212    0.55563E+04    0.72112E+00    0.13899E-01    0.23167E+01
   213    0.55609E+04    0.73389E+00    0.14046E-01    0.37678E+01
   214    0.55648E+04    0.74790E+00    0.14193E-01    0.52336E+01
   215    0.55682E+04    0.76333E+00    0.14341E-01    0.67133E+01
   216    0.55708E+04    0.78000E+00    0.14489E-01    0.82073E+01
   217    0.55730E+04    0.79805E+00    0.14638E-01    0.97138E+01
   218    0.55745E+04    0.81750E+00    0.14788E-01    0.11233E+02
   219    0.55754E+04    0.83833E+00    0.14938E-01    0.12766E+02
   220    0.55757E+04    0.86069E+00    0.15089E-01    0.14308E+02
   221    0.55755E+04    0.88452E+00    0.15240E-01    0.15861E+02
   222    0.55746E+04    0.90996E+00    0.15392E-01    0.17424E+02
   223    0.55731E+04    0.93692E+00    0.15544E-01    0.18998E+02
   224    0.55710E+04    0.96541E+00    0.15696E-01    0.20579E+02
   225    0.55684E+04    0.99559E+00    0.15849E-01    0.22170E+02
   226    0.55651E+04    0.10274E+01    0.16003E-01    0.23768E+02
   227    0.55612E+04    0.10610E+01    0.16157E-01    0.25373E+02
   228    0.55567E+04    0.10962E+01    0.16311E-01    0.26984E+02
   229    0.55517E+04    0.11331E+01    0.16465E-01    0.28600E+02
   230    0.55460E+04    0.11718E+01    0.16620E-01    0.30222E+02
   231    0.55397E+04    0.12123E+01    0.16776E-01    0.31849E+02
   232    0.55328E+04    0.12545E+01    0.16931E-01    0.33479E+02
   233    0.55254E+04    0.12987E+01    0.17087E-01    0.35110E+02
   234    0.55172E+04    0.13448E+01    0.17243E-01    0.36745E+02
   235    0.55085E+04    0.13927E+01    0.17400E-01    0.38381E+02
   236    0.54991E+04    0.14425E+01    0.17556E-01    0.40018E+02
   237    0.54892E+04    0.14942E+01    0.17713E-01    0.41654E+02
   238    0.54787E+04    0.15480E+01    0.17871E-01    0.43291E+02
   239    0.54676E+04    0.16037E+01    0.18028E-01    0.44926E+02
   240    0.54559E+04    0.16613E+01    0.18185E-01    0.46559E+02
   241    0.54436E+04    0.17210E+01    0.18343E-01    0.48189E+02
   242    0.54308E+04    0.17827E+01    0.18501E-01    0.49815E+02
   243    0.54174E+04    0.18464E+01    0.18658E-01    0.51437E+02
   244    0.54035E+04    0.19122E+01    0.18816E-01    0.53055E+02
   245    0.53889E+04    0.19801E+01    0.18974E-01    0.54667E+02
   246    0.53738E+04    0.20501E+01    0.19132E-01    0.56273E+02
   247    0.53582E+04    0.21221E+01    0.19290E-01    0.57871E+02
   248    0.53420E+04    0.21965E+01    0.19448E-01    0.59462E+02
   249    0.53254E+04    0.22727E+01    0.19606E-01    0.61045E+02
   250    0.53082E+04    0.23513E+01    0.19763E-01    0.62618E+02
   251    0.52905E+04    0.24318E+01    0.19921E-01    0.64182E+02
   252    0.52722E+04    0.25147E+01    0.20079E-01    0.65735E+02
   253    0.52536E+04    0.25995E+01    0.20236E-01    0.67277E+02
   254    0.52344E+04    0.26866E+01    0.20393E-01    0.68807E+02
   255    0.52146E+04    0.27757E+01    0.20550E-01    0.70325E+02
   256    0.51945E+04    0.28673E+01    0.20707E-01    0.71831E+02
   257    0.51739E+04    0.29607E+01    0.20864E-01    0.73317E+02
   258    0.51528E+04    0.30565E+01    0.21020E-01    0.74795E+02
   259    0.51312E+04    0.31544E+01    0.21176E-01    0.76252E+02
   260    0.51093E+04    0.32545E+01    0.21332E-01    0.77701E+02
   261    0.50868E+04    0.33567E+01    0.21487E-01    0.79121E+02
   262    0.50639E+04    0.34612E+01    0.21643E-01    0.80533E+02
   263    0.50408E+04    0.35678E+01    0.21797E-01    0.81930E+02
   264    0.50171E+04    0.36765E+01    0.21952E-01    0.83306E+02
   265    0.49928E+04    0.37874E+01    0.22106E-01    0.84652E+02
   266    0.49683E+04    0.39005E+01    0.22260E-01    0.85990E+02
   267    0.49433E+04    0.40156E+01    0.22413E-01    0.87300E+02
   268    0.49179E+04    0.41330E+01    0.22566E-01    0.88594E+02
   269    0.48920E+04    0.42524E+01    0.22718E-01    0.89867E+02
   270    0.48659E+04    0.43739E+01    0.22870E-01    0.91117E+02
   271    0.48394E+04    0.44974E+01    0.23021E-01    0.92346E+02
   272    0.48126E+04    0.46232E+01    0.23172E-01    0.93545E+02
   273    0.47853E+04    0.47507E+01    0.23322E-01    0.94730E+02
   274    0.47578E+04    0.48806E+01    0.23472E-01    0.95878E+02
   275    0.47300E+04    0.50122E+01    0.23622E-01    0.97011E+02
   276    0.47019E+04    0.51459E+01    0.23770E-01    0.98108E+02
   277    0.46733E+04    0.52815E+01    0.23919E-01    0.99190E+02
   278    0.46446E+04    0.54192E+01    0.24066E-01    0.10024E+03
   279    0.46155E+04    0.55586E+01    0.24213E-01    0.10125E+03
   280    0.45862E+04    0.57000E+01    0.24360E-01    0.10225E+03
   281    0.45567E+04    0.58433E+01    0.24506E-01    0.10322E+03
   282    0.45268E+04    0.59882E+01    0.24651E-01    0.10416E+03
   283    0.44967E+04    0.61350E+01    0.24795E-01    0.10506E+03
   284    0.44664E+04    0.62836E+01    0.24939E-01    0.10594E+03
   285    0.44359E+04    0.64340E+01    0.25083E-01    0.10679E+03
   286    0.44051E+04    0.65861E+01    0.25225E-01    0.10760E+03
   287    0.43741E+04    0.67398E+01    0.25367E-01    0.10839E+03
   288    0.43430E+04    0.68951E+01    0.25509E-01    0.10915E+03
   289    0.43116E+04    0.70520E+01    0.25650E-01    0.10987E+03
   290    0.42801E+04    0.72104E+01    0.25790E-01    0.11057E+03
   291    0.42484E+04    0.73709E+01    0.25929E-01    0.11122E+03
   292    0.42163E+04    0.75324E+01    0.26068E-01    0.11185E+03
   293    0.41844E+04    0.76947E+01    0.26206E-01    0.11244E+03
   294    0.41522E+04    0.78591E+01    0.26343E-01    0.11300E+03
   295    0.41200E+04    0.80242E+01    0.26480E-01    0.11352E+03
   296    0.40876E+04    0.81915E+01    0.26616E-01    0.11402E+03
   297    0.40551E+04    0.83587E+01    0.26751E-01    0.11448E+03
   298    0.40224E+04    0.85281E+01    0.26886E-01    0.11490E+03
   299    0.39896E+04    0.86989E+01    0.27020E-01    0.11528E+03
   300    0.39568E+04    0.88697E+01    0.27153E-01    0.11563E+03
   301    0.39239E+04    0.90419E+01    0.27285E-01    0.11595E+03
   302    0.38909E+04    0.92148E+01    0.27417E-01    0.11624E+03
   303    0.38580E+04    0.93891E+01    0.27548E-01    0.11649E+03
   304    0.38249E+04    0.95649E+01    0.27678E-01    0.11669E+03
   305    0.37919E+04    0.97406E+01    0.27808E-01    0.11686E+03
   306    0.37587E+04    0.99170E+01    0.27936E-01    0.11700E+03
   307    0.37256E+04    0.10094E+02    0.28065E-01    0.11709E+03
   308    0.36925E+04    0.10273E+02    0.28192E-01    0.11717E+03
   309    0.36595E+04    0.10452E+02    0.28318E-01    0.11719E+03
   310    0.36264E+04    0.10630E+02    0.28444E-01    0.11718E+03
   311    0.35933E+04    0.10811E+02    0.28569E-01    0.11713E+03
   312    0.35604E+04    0.10991E+02    0.28694E-01    0.11705E+03
   313    0.35274E+04    0.11172E+02    0.28817E-01    0.11693E+03
   314    0.34946E+04    0.11353E+02    0.28940E-01    0.11677E+03
   315    0.34618E+04    0.11534E+02    0.29062E-01    0.11658E+03
   316    0.34291E+04    0.11715E+02    0.29184E-01    0.11635E+03
   317    0.33964E+04    0.11895E+02    0.29304E-01    0.11608E+03
   318    0.33638E+04    0.12077E+02    0.29424E-01    0.11577E+03
   319    0.33314E+04    0.12258E+02    0.29543E-01    0.11543E+03
   320    0.32991E+04    0.12440E+02    0.29662E-01    0.11506E+03
   321    0.32669E+04    0.12622E+02    0.29779E-01    0.11465E+03
   322    0.32349E+04    0.12802E+02    0.29896E-01    0.11420E+03
   323    0.32030E+04    0.12982E+02    0.30012E-01    0.11371E+03
   324    0.31712E+04    0.13163E+02    0.30128E-01    0.11318E+03
   325    0.31397E+04    0.13342E+02    0.30242E-01    0.11263E+03
   326    0.31082E+04    0.13521E+02    0.30356E-01    0.11203E+03
   327    0.30770E+04    0.13700E+02    0.30470E-01    0.11140E+03
   328    0.30460E+04    0.13878E+02    0.30582E-01    0.11074E+03
   329    0.30151E+04    0.14055E+02    0.30694E-01    0.11003E+03
   330    0.29844E+04    0.14231E+02    0.30805E-01    0.10929E+03
   331    0.29540E+04    0.14406E+02    0.30916E-01    0.10852E+03
   332    0.29238E+04    0.14581E+02    0.31026E-01    0.10773E+03
   333    0.28938E+04    0.14755E+02    0.31135E-01    0.10689E+03
   334    0.28641E+04    0.14928E+02    0.31243E-01    0.10602E+03
   335    0.28345E+04    0.15099E+02    0.31351E-01    0.10512E+03
   336    0.28052E+04    0.15269E+02    0.31458E-01    0.10418E+03
   337    0.27762E+04    0.15438E+02    0.31565E-01    0.10320E+03
   338    0.27475E+04    0.15605E+02    0.31671E-01    0.10220E+03
   339    0.27191E+04    0.15772E+02    0.31776E-01    0.10116E+03
   340    0.26909E+04    0.15937E+02    0.31881E-01    0.10010E+03
   341    0.26629E+04    0.16100E+02    0.31986E-01    0.99000E+02
   342    0.26353E+04    0.16263E+02    0.32089E-01    0.97868E+02
