#    L    TT             EE             BB             TE          
   174    0.50795E+04    0.88212E+00    0.11724E-01   -0.39113E+02
   175    0.51048E+04    0.87137E+00    0.11877E-01   -0.38505E+02
   176    0.51295E+04    0.86070E+00    0.12032E-01   -0.37870E+02
   177    0.51539E+04    0.85005E+00    0.12188E-01   -0.37209E+02
   178    0.51778E+04    0.83963E+00    0.12345E-01   -0.36519E+02
   179    0.52012E+04    0.82915E+00    0.12503E-01   -0.35802E+02
   180    0.52243E+04    0.81883E+00    0.12663E-01   -0.35058E+02
   181    0.52469E+04    0.80868E+00    0.12824E-01   -0.34288E+02
   182    0.52690E+04    0.79875E+00    0.12986E-01   -0.33490E+02
   183    0.52906E+04    0.78900E+00    0.13149E-01   -0.32665E+02
   184    0.53117E+04    0.77947E+00    0.13313E-01   -0.31814E+02
   185    0.53325E+04    0.77034E+00    0.13479E-01   -0.30937E+02
   186    0.53523E+04    0.76145E+00    0.13645E-01   -0.30033E+02
   187    0.53721E+04    0.75295E+00    0.13813E-01   -0.29103E+02
   188    0.53912E+04    0.74482E+00    0.13982E-01   -0.28147E+02
   189    0.54098E+04    0.73710E+00    0.14152E-01   -0.27166E+02
   190    0.54282E+04    0.72985E+00    0.14324E-01   -0.26160E+02
   191    0.54457E+04    0.72308E+00    0.14496E-01   -0.25127E+02
   192    0.54629E+04    0.71682E+00    0.14670E-01   -0.24070E+02
   193    0.54794E+04    0.71111E+00    0.14844E-01   -0.22989E+02
   194    0.54955E+04    0.70598E+00    0.15020E-01   -0.21883E+02
   195    0.55111E+04    0.70148E+00    0.15196E-01   -0.20753E+02
   196    0.55260E+04    0.69763E+00    0.15374E-01   -0.19600E+02
   197    0.55404E+04    0.69449E+00    0.15553E-01   -0.18424E+02
   198    0.55544E+04    0.69207E+00    0.15733E-01   -0.17224E+02
   199    0.55678E+04    0.69041E+00    0.15914E-01   -0.16003E+02
   200    0.55807E+04    0.68955E+00    0.16095E-01   -0.14759E+02
   201    0.55930E+04    0.68954E+00    0.16278E-01   -0.13493E+02
   202    0.56047E+04    0.69040E+00    0.16462E-01   -0.12207E+02
   203    0.56159E+04    0.69217E+00    0.16647E-01   -0.10898E+02
   204    0.56263E+04    0.69488E+00    0.16832E-01   -0.95709E+01
   205    0.56363E+04    0.69858E+00    0.17019E-01   -0.82228E+01
   206    0.56456E+04    0.70331E+00    0.17207E-01   -0.68551E+01
   207    0.56543E+04    0.70908E+00    0.17395E-01   -0.54682E+01
   208    0.56623E+04    0.71595E+00    0.17584E-01   -0.40628E+01
   209    0.56697E+04    0.72394E+00    0.17775E-01   -0.26390E+01
   210    0.56765E+04    0.73311E+00    0.17966E-01   -0.11980E+01
   211    0.56827E+04    0.74348E+00    0.18158E-01    0.26031E+00
   212    0.56881E+04    0.75508E+00    0.18350E-01    0.17349E+01
   213    0.56930E+04    0.76796E+00    0.18544E-01    0.32259E+01
   214    0.56973E+04    0.78210E+00    0.18738E-01    0.47319E+01
   215    0.57009E+04    0.79772E+00    0.18934E-01    0.62523E+01
   216    0.57038E+04    0.81461E+00    0.19130E-01    0.77876E+01
   217    0.57063E+04    0.83293E+00    0.19326E-01    0.93358E+01
   218    0.57080E+04    0.85268E+00    0.19524E-01    0.10897E+02
   219    0.57091E+04    0.87387E+00    0.19722E-01    0.12472E+02
   220    0.57097E+04    0.89664E+00    0.19921E-01    0.14057E+02
   221    0.57096E+04    0.92092E+00    0.20120E-01    0.15653E+02
   222    0.57089E+04    0.94686E+00    0.20320E-01    0.17260E+02
   223    0.57075E+04    0.97437E+00    0.20521E-01    0.18878E+02
   224    0.57056E+04    0.10035E+01    0.20723E-01    0.20503E+02
   225    0.57031E+04    0.10343E+01    0.20925E-01    0.22138E+02
   226    0.56999E+04    0.10669E+01    0.21127E-01    0.23780E+02
   227    0.56961E+04    0.11011E+01    0.21330E-01    0.25429E+02
   228    0.56917E+04    0.11372E+01    0.21534E-01    0.27086E+02
